Text,Label
"Terrible experience, won't recommend. Customer support was unhelpful.",bad
Poor quality and not worth the money. Waste of money and time.,bad
"Does not match the description. Faulty item, had to return.",bad
Highly satisfied with the purchase. Would definitely recommend to others.,good
Works perfectly and as expected. Works perfectly and as expected.,good
Top-notch quality and build. Impressed with the performance.,good
Very useful and good value for money. Great quality and fast delivery.,good
Performance was below expectations. Poor quality and not worth the money.,bad
Impressed with the performance. Works perfectly and as expected.,good
Highly satisfied with the purchase. Product matches the description well.,good
Would definitely recommend to others. Would definitely recommend to others.,good
Highly satisfied with the purchase. Superb! Will buy again.,good
Does not match the description. Very disappointed with the product.,bad
Impressed with the performance. Product matches the description well.,good
Waste of money and time. Stopped working after a few days.,bad
Highly satisfied with the purchase. Would definitely recommend to others.,good
Waste of money and time. Performance was below expectations.,bad
"Terrible experience, won't recommend. Stopped working after a few days.",bad
Very useful and good value for money. Very useful and good value for money.,good
Superb! Will buy again. Great quality and fast delivery.,good
Late delivery and bad packaging. Waste of money and time.,bad
Late delivery and bad packaging. Customer support was unhelpful.,bad
Superb! Will buy again. Great quality and fast delivery.,good
Works perfectly and as expected. Works perfectly and as expected.,good
"Does not match the description. Terrible experience, won't recommend.",bad
Would definitely recommend to others. Impressed with the performance.,good
Product matches the description well. Would definitely recommend to others.,good
"Terrible experience, won't recommend. Performance was below expectations.",bad
Impressed with the performance. Very useful and good value for money.,good
Customer support was unhelpful. Very disappointed with the product.,bad
Product matches the description well. Very useful and good value for money.,good
Superb! Will buy again. Top-notch quality and build.,good
Very disappointed with the product. Customer support was unhelpful.,bad
Highly satisfied with the purchase. Superb! Will buy again.,good
"Faulty item, had to return. Very disappointed with the product.",bad
Great quality and fast delivery. Great quality and fast delivery.,good
Very disappointed with the product. Poor quality and not worth the money.,bad
Late delivery and bad packaging. Late delivery and bad packaging.,bad
Highly satisfied with the purchase. Great quality and fast delivery.,good
Product matches the description well. Superb! Will buy again.,good
Product matches the description well. Product matches the description well.,good
Highly satisfied with the purchase. Highly satisfied with the purchase.,good
Highly satisfied with the purchase. Superb! Will buy again.,good
"Does not match the description. Faulty item, had to return.",bad
Great quality and fast delivery. Works perfectly and as expected.,good
Great quality and fast delivery. Highly satisfied with the purchase.,good
"Does not match the description. Terrible experience, won't recommend.",bad
Impressed with the performance. Product matches the description well.,good
Stopped working after a few days. Late delivery and bad packaging.,bad
Excellent customer service and experience. Impressed with the performance.,good
Product matches the description well. Superb! Will buy again.,good
Top-notch quality and build. Works perfectly and as expected.,good
Superb! Will buy again. Impressed with the performance.,good
Would definitely recommend to others. Very useful and good value for money.,good
Product matches the description well. Would definitely recommend to others.,good
Late delivery and bad packaging. Waste of money and time.,bad
Product matches the description well. Impressed with the performance.,good
Performance was below expectations. Customer support was unhelpful.,bad
Highly satisfied with the purchase. Highly satisfied with the purchase.,good
Does not match the description. Poor quality and not worth the money.,bad
Poor quality and not worth the money. Waste of money and time.,bad
Poor quality and not worth the money. Poor quality and not worth the money.,bad
Stopped working after a few days. Very disappointed with the product.,bad
Highly satisfied with the purchase. Product matches the description well.,good
Very disappointed with the product. Poor quality and not worth the money.,bad
"Terrible experience, won't recommend. Waste of money and time.",bad
Excellent customer service and experience. Top-notch quality and build.,good
Does not match the description. Waste of money and time.,bad
Very disappointed with the product. Late delivery and bad packaging.,bad
Customer support was unhelpful. Poor quality and not worth the money.,bad
Customer support was unhelpful. Stopped working after a few days.,bad
Impressed with the performance. Great quality and fast delivery.,good
Waste of money and time. Very disappointed with the product.,bad
Great quality and fast delivery. Excellent customer service and experience.,good
Stopped working after a few days. Stopped working after a few days.,bad
Waste of money and time. Waste of money and time.,bad
Poor quality and not worth the money. Does not match the description.,bad
Great quality and fast delivery. Impressed with the performance.,good
Customer support was unhelpful. Stopped working after a few days.,bad
"Does not match the description. Faulty item, had to return.",bad
Poor quality and not worth the money. Waste of money and time.,bad
"Faulty item, had to return. Terrible experience, won't recommend.",bad
Great quality and fast delivery. Superb! Will buy again.,good
Top-notch quality and build. Top-notch quality and build.,good
Highly satisfied with the purchase. Very useful and good value for money.,good
Does not match the description. Poor quality and not worth the money.,bad
Works perfectly and as expected. Great quality and fast delivery.,good
Superb! Will buy again. Top-notch quality and build.,good
Product matches the description well. Would definitely recommend to others.,good
"Poor quality and not worth the money. Terrible experience, won't recommend.",bad
Performance was below expectations. Late delivery and bad packaging.,bad
Does not match the description. Late delivery and bad packaging.,bad
Customer support was unhelpful. Stopped working after a few days.,bad
Waste of money and time. Performance was below expectations.,bad
Top-notch quality and build. Highly satisfied with the purchase.,good
"Terrible experience, won't recommend. Faulty item, had to return.",bad
"Performance was below expectations. Terrible experience, won't recommend.",bad
Great quality and fast delivery. Excellent customer service and experience.,good
Late delivery and bad packaging. Waste of money and time.,bad
"Terrible experience, won't recommend. Poor quality and not worth the money.",bad
